iter	Passed	Remaining
901	3379	4113
902	3381	4107
903	3383	4101
904	3385	4096
905	3388	4091
906	3390	4085
907	3394	4082
908	3398	4078
909	3403	4076
910	3406	4071
911	3409	4068
912	3412	4063
913	3416	4059
914	3426	4063
915	3431	4060
916	3434	4056
917	3437	4052
918	3442	4049
919	3445	4044
920	3448	4039
921	3451	4035
922	3455	4032
923	3457	4026
924	3459	4020
925	3462	4015
926	3467	4013
927	3469	4007
928	3471	4001
929	3474	3997
930	3477	3992
931	3479	3987
932	3482	3982
933	3484	3977
934	3487	3972
935	3491	3968
936	3493	3963
937	3496	3958
938	3498	3952
939	3502	3950
940	3508	3948
941	3511	3943
942	3512	3936
943	3514	3931
944	3517	3926
945	3518	3919
946	3521	3915
947	3525	3912
948	3528	3907
949	3530	3902
950	3532	3896
951	3533	3890
952	3536	3885
953	3538	3879
954	3542	3876
955	3546	3872
956	3553	3873
957	3555	3867
958	3557	3861
959	3558	3855
960	3560	3849
961	3562	3843
962	3564	3838
963	3566	3833
964	3567	3826
965	3571	3823
966	3572	3816
967	3575	3811
968	3579	3808
969	3581	3803
970	3589	3803
971	3590	3797
972	3591	3790
973	3593	3785
974	3595	3780
975	3597	3774
976	3599	3769
977	3601	3763
978	3603	3757
979	3604	3751
980	3606	3746
981	3608	3741
982	3610	3735
983	3614	3732
984	3617	3727
985	3618	3721
986	3620	3715
987	3621	3709
988	3623	3703
989	3624	3697
990	3627	3693
991	3628	3687
992	3631	3682
993	3639	3683
994	3646	3682
995	3648	3677
996	3652	3674
997	3656	3671
998	3659	3666
999	3661	3661
1000	3663	3655
1001	3664	3650
1002	3666	3644
1003	3667	3638
1004	3673	3636
1005	3676	3633
1006	3679	3627
1007	3680	3622
1008	3682	3616
1009	3685	3612
1010	3689	3609
1011	3691	3603
1012	3692	3598
1013	3694	3592
1014	3696	3587
1015	3698	3581
1016	3701	3577
1017	3703	3572
1018	3705	3567
1019	3707	3562
1020	3709	3556
1021	3711	3551
1022	3712	3545
1023	3717	3543
1024	3722	3540
1025	3725	3536
1026	3726	3530
1027	3728	3525
1028	3732	3522
1029	3735	3517
1030	3737	3512
1031	3744	3512
1032	3748	3509
1033	3751	3504
1034	3752	3499
1035	3754	3493
1036	3756	3488
1037	3758	3483
1038	3761	3479
1039	3765	3475
1040	3767	3471
1041	3770	3466
1042	3772	3461
1043	3774	3456
1044	3777	3452
1045	3780	3447
1046	3781	3441
1047	3782	3435
1048	3783	3430
1049	3784	3423
1050	3786	3418
1051	3788	3414
1052	3794	3412
1053	3796	3407
1054	3798	3402
1055	3800	3397
1056	3802	3392
1057	3807	3390
1058	3814	3389
1059	3817	3385
1060	3824	3384
1061	3826	3380
1062	3828	3375
1063	3830	3369
1064	3832	3364
1065	3836	3361
1066	3839	3357
1067	3844	3354
1068	3847	3350
1069	3849	3345
1070	3854	3343
1071	3858	3340
1072	3865	3339
1073	3871	3337
1074	3872	3331
1075	3873	3326
1076	3875	3321
1077	3877	3316
1078	3879	3311
1079	3884	3308
1080	3886	3303
1081	3887	3298
1082	3889	3293
1083	3891	3288
1084	3893	3283
1085	3896	3279
1086	3899	3275
1087	3901	3270
1088	3906	3267
1089	3909	3263
1090	3911	3259
1091	3914	3255
1092	3919	3252
1093	3928	3253
1094	3931	3249
1095	3935	3246
1096	3941	3244
1097	3947	3242
1098	3949	3238
1099	3951	3233
1100	3955	3229
1101	3960	3227
1102	3968	3227
1103	3971	3223
1104	3972	3217
